#-------------------------------------------------------------------------------------------
# Role, posX, posY
#-------------------------------------------------------------------------------------------
# Example offense formation (role, x, y):
#-------------------------------------------------------------------------------------------
#    (WR1, 4, 9) 
#
#    (WR2, 4, 11)
#
#    (WR3, 4, 13)
#
# (OT1, 1, 15)
# (OG1, 1, 16)
#(C, 0, 17)	(QB, 4, 17)
# (OG2, 1, 18)
# (OT2, 1, 19)
# (TE, 1, 20)
#
#
#
#    (WR4, 4, 24)
#-------------------------------------------------------------------------------------------
WR1,4,9
WR2,4,11
WR3,4,13
OT1,1,15
OG1,1,15
C,0,17
OG2,1,18
OT2,1,19
TE,1,20
QB,4,17
WR4,4,24
